X--Trace 1::[V(v_out)],Y--Trace 1::[V(v_out)]
0,0
3.125E-07,0.003909588
3.38828E-07,0.004238844
3.91484E-07,0.004897111
4.96796E-07,0.006212161
7.07419E-07,0.008836346
1.12867E-06,0.014061118
1.97116E-06,0.024416852
3.65615E-06,0.044757607
7.02613E-06,0.083991603
1.37661E-05,0.156937655
2.7246E-05,0.282676903
5.42058E-05,0.46625594
8.54558E-05,0.586834836
0.000116706,0.631358495
0.000147956,0.617594323
0.000179206,0.558458401
0.000210456,0.464100775
0.000241706,0.343157175
0.000272956,0.203461216
0.000304206,0.05240733
0.000335456,-0.102911151
0.000366706,-0.255706072
0.000397956,-0.399584546
0.000429206,-0.528686041
0.000460456,-0.63783853
0.000491706,-0.722713333
0.000522956,-0.779963537
0.000554206,-0.80733485
0.000585456,-0.803740944
0.000616706,-0.76929801
0.000647956,-0.705315734
0.000679206,-0.614244055
0.000710456,-0.499577167
0.000741706,-0.365718071
0.000772956,-0.217808618
0.000804206,-0.061531433
0.000835456,0.097108759
0.000866706,0.252016092
0.000897956,0.397237936
0.000929206,0.527193735
0.000960456,0.636889511
0.000991706,0.722109813
0.001022956,0.779579733
0.001054206,0.807090774
0.001085456,0.803585725
0.001116706,0.769199301
0.001147956,0.705252961
0.001179206,0.614204134
0.001210456,0.49955178
0.001241706,0.365701927
0.001272956,0.217798351
0.001304206,0.061524904
0.001335456,-0.097112911
0.001366706,-0.252018732
0.001397956,-0.397239615
0.001429206,-0.527194803
0.001460456,-0.63689019
0.001491706,-0.722110245
0.001522956,-0.779580008
0.001554206,-0.807090948
0.001585456,-0.803585836
0.001616706,-0.769199371
0.001647956,-0.705253006
0.001679206,-0.614204163
0.001710456,-0.499551798
0.001741706,-0.365701938
0.001772956,-0.217798358
0.001804206,-0.061524909
0.001835456,0.097112908
0.001866706,0.25201873
0.001897956,0.397239614
0.001929206,0.527194802
0.001960456,0.63689019
0.001991706,0.722110245
0.002022956,0.779580008
0.002054206,0.807090948
0.002085456,0.803585836
0.002116706,0.769199371
0.002147956,0.705253006
0.002179206,0.614204163
0.002210456,0.499551798
0.002241706,0.365701938
0.002272956,0.217798358
0.002304206,0.061524909
0.002335456,-0.097112908
0.002366706,-0.25201873
0.002397956,-0.397239614
0.002429206,-0.527194802
0.002460456,-0.63689019
0.002491706,-0.722110245
0.002522956,-0.779580008
0.002554206,-0.807090948
0.002585456,-0.803585836
0.002616706,-0.769199371
0.002647956,-0.705253006
0.002679206,-0.614204163
0.002710456,-0.499551798
0.002741706,-0.365701938
0.002772956,-0.217798358
0.002804206,-0.061524909
0.002835456,0.097112908
0.002866706,0.25201873
0.002897956,0.397239614
0.002929206,0.527194802
0.002960456,0.63689019
0.002991706,0.722110245
0.003022956,0.779580008
0.003054206,0.807090948
0.003085456,0.803585836
0.003116706,0.769199371
0.003147956,0.705253006
0.003179206,0.614204163
0.003210456,0.499551798
0.003241706,0.365701938
0.003272956,0.217798358
0.003304206,0.061524909
0.003335456,-0.097112908
0.003366706,-0.25201873
0.003397956,-0.397239614
0.003429206,-0.527194802
0.003460456,-0.63689019
0.003491706,-0.722110245
0.003522956,-0.779580008
0.003554206,-0.807090948
0.003585456,-0.803585836
0.003616706,-0.769199371
0.003647956,-0.705253006
0.003679206,-0.614204163
0.003710456,-0.499551798
0.003741706,-0.365701938
0.003772956,-0.217798358
0.003804206,-0.061524909
0.003835456,0.097112908
0.003866706,0.25201873
0.003897956,0.397239614
0.003929206,0.527194802
0.003960456,0.63689019
0.003991706,0.722110245
0.004022956,0.779580008
0.004054206,0.807090948
0.004085456,0.803585836
0.004116706,0.769199371
0.004147956,0.705253006
0.004179206,0.614204163
0.004210456,0.499551798
0.004241706,0.365701938
0.004272956,0.217798358
0.004304206,0.061524909
0.004335456,-0.097112908
0.004366706,-0.25201873
0.004397956,-0.397239614
0.004429206,-0.527194802
0.004460456,-0.63689019
0.004491706,-0.722110245
0.004522956,-0.779580008
0.004554206,-0.807090948
0.004585456,-0.803585836
0.004616706,-0.769199371
0.004647956,-0.705253006
0.004679206,-0.614204163
0.004710456,-0.499551798
0.004741706,-0.365701938
0.004772956,-0.217798358
0.004804206,-0.061524909
0.004835456,0.097112908
0.004866706,0.25201873
0.004897956,0.397239614
0.004929206,0.527194802
0.004960456,0.63689019
0.004991706,0.722110245
0.005022956,0.779580008
0.005054206,0.807090948
0.005085456,0.803585836
0.005116706,0.769199371
0.005147956,0.705253006
0.005179206,0.614204163
0.005210456,0.499551798
0.005241706,0.365701938
0.005272956,0.217798358
0.005304206,0.061524909
0.005335456,-0.097112908
0.005366706,-0.25201873
0.005397956,-0.397239614
0.005429206,-0.527194802
0.005460456,-0.63689019
0.005491706,-0.722110245
0.005522956,-0.779580008
0.005554206,-0.807090948
0.005585456,-0.803585836
0.005616706,-0.769199371
0.005647956,-0.705253006
0.005679206,-0.614204163
0.005710456,-0.499551798
0.005741706,-0.365701938
0.005772956,-0.217798358
0.005804206,-0.061524909
0.005835456,0.097112908
0.005866706,0.25201873
