Time (s),Channel 1 (V),Channel 2 (V)
-0.0001434999999999995,-0.7802371883593482,-0.396618458082356
-0.0001410000000000005,-0.7785797278635808,-0.3902432086595287
-0.0001384999999999997,-0.7765907752686599,-0.3825258014634746
-0.0001360000000000007,-0.7746018226737399,-0.374808394267424
-0.0001334999999999999,-0.7726128700788181,-0.3677620659579798
-0.0001309999999999992,-0.7706239174838966,-0.3603801982052302
-0.0001285000000000001,-0.7692979490872832,-0.355347106555632
-0.0001259999999999994,-0.7676404885915147,-0.3493073965761077
-0.0001235000000000003,-0.7653200438974413,-0.3412544499367506
-0.0001209999999999996,-0.7636625834016739,-0.3352147399572299
-0.0001185000000000005,-0.7613421387075996,-0.3274973327611759
-0.0001159999999999998,-0.7593531861126787,-0.3211220833383486
-0.0001135000000000008,-0.7573642335177586,-0.3130691366989915
-0.000111,-0.7557067730219903,-0.308371584492694
-0.0001084999999999992,-0.7540493125262218,-0.3016607956265562
-0.0001060000000000002,-0.7517288678321484,-0.2932723095438926
-0.0001034999999999994,-0.7497399152372263,-0.2865615206777555
-0.0001010000000000004,-0.7470879784439997,-0.2798507318116246
-9.849999999999963e-05,-0.7457620100473857,-0.2721333246155705
-9.60000000000006e-05,-0.7437730574524657,-0.2664291540793592
-9.349999999999983e-05,-0.7421155969566974,-0.2613960624297561
-9.10000000000008e-05,-0.7404581364609307,-0.2530075763470925
-8.850000000000004e-05,-0.737806199667702,-0.2459612480376479
-8.599999999999927e-05,-0.73581724707278,-0.2389149197282039
-8.350000000000024e-05,-0.7331653102795532,-0.2315330519754599
-8.099999999999948e-05,-0.7315078497837858,-0.2238156447794057
-7.850000000000044e-05,-0.7298503892880184,-0.2184470136864985
-7.599999999999968e-05,-0.7278614366930974,-0.2127428431502847
-7.350000000000065e-05,-0.7255409919990242,-0.2046898965109276
-7.099999999999988e-05,-0.7235520394041022,-0.1983146470880966
-6.850000000000085e-05,-0.7212315947100288,-0.1899261610054329
-6.600000000000009e-05,-0.7189111500159534,-0.1828798326959885
-6.349999999999932e-05,-0.7169221974210319,-0.1758335043865456
-6.100000000000029e-05,-0.7155962290244186,-0.171135952180254
-5.849999999999952e-05,-0.7132757843303441,-0.1637540844275066
-5.600000000000049e-05,-0.7106238475371162,-0.1560366772314525
-5.349999999999973e-05,-0.7089663870413487,-0.1493258883653185
-5.10000000000007e-05,-0.7063144502481221,-0.1412729417259614
-4.849999999999993e-05,-0.7036625134548931,-0.1345621528598237
-4.599999999999917e-05,-0.7020050529591249,-0.1285224428803002
-4.350000000000014e-05,-0.7003475924633582,-0.1221471934574758
-4.099999999999937e-05,-0.6980271477692825,-0.1157719440346449
-3.850000000000034e-05,-0.6953752109760558,-0.1077189973952878
-3.599999999999957e-05,-0.6930547662819815,-0.09966605075592699
-3.350000000000054e-05,-0.690734321587907,-0.09396188021971311
-3.099999999999978e-05,-0.6884138768938327,-0.08590893358035231
-2.850000000000075e-05,-0.6870879084972192,-0.08087584193075412
-2.599999999999998e-05,-0.6847674638031443,-0.07450059250792454
-2.349999999999922e-05,-0.6824470191090688,-0.0667831853118671
-2.100000000000019e-05,-0.6801265744149955,-0.05940131755912306
-1.849999999999942e-05,-0.6774746376217665,-0.05201944980637262
-1.600000000000039e-05,-0.6751541929276932,-0.04530866094024169
-1.349999999999962e-05,-0.6725022561344653,-0.03692017485757421
-1.100000000000059e-05,-0.6711762877378514,-0.03289370153789381
-8.499999999999827e-06,-0.6685243509446235,-0.02551183378514642
-6.000000000000796e-06,-0.6658724141513969,-0.0181299660324024
-3.500000000000031e-06,-0.6638834615564747,-0.01074809827965165
-9.999999999992654e-07,-0.6612315247632458,-0.002695151640287815
1.499999999999765e-06,-0.6589110800691724,0.004015637225843121
4.000000000000531e-06,-0.657253619573405,0.009384268318750312
6.499999999999562e-06,-0.6549331748793306,0.0160950571848843
9.000000000000327e-06,-0.6526127301852562,0.02314138549432499
1.149999999999936e-05,-0.6496293012928761,0.03119433213368211
1.400000000000012e-05,-0.6473088565988004,0.03756958155651306
1.649999999999915e-05,-0.6446569198055737,0.04595806763917673
1.899999999999992e-05,-0.6423364751114982,0.05233331706200783
2.150000000000069e-05,-0.6406790146157295,0.05635979038169173
2.399999999999972e-05,-0.6380270778225028,0.06407719757774231
2.650000000000048e-05,-0.6363696173267354,0.0717946047737964
2.899999999999951e-05,-0.6337176805335075,0.07850539363993038
3.150000000000028e-05,-0.6304027595419727,0.08689387972259786
3.399999999999931e-05,-0.6280823148478993,0.0936046685887288
3.650000000000007e-05,-0.6260933622529773,0.09897329968163905
3.900000000000084e-05,-0.6237729175589017,0.1053485491044697
4.149999999999987e-05,-0.621120980765675,0.1127304168572137
4.400000000000064e-05,-0.6188005360715998,0.1204478240532707
4.649999999999967e-05,-0.6168115834766797,0.1268230734760951
4.900000000000043e-05,-0.6138281545842983,0.1345404806721492
5.149999999999946e-05,-0.6118392019893775,0.1415868089815899
5.400000000000023e-05,-0.6098502493944565,0.1466199006311903
5.649999999999926e-05,-0.6071983126012298,0.1540017683839344
5.900000000000002e-05,-0.6045463758080007,0.1610480966933784
6.150000000000079e-05,-0.6015629469156182,0.1691010433327423
6.399999999999982e-05,-0.5989110101223915,0.1758118321988732
6.650000000000059e-05,-0.5959275812300089,0.1828581605083171
6.899999999999962e-05,-0.5932756444367823,0.1899044888177546
7.150000000000038e-05,-0.5922811681393217,0.1946020410240484
7.399999999999941e-05,-0.5889662471477869,0.2026549876634092
7.650000000000018e-05,-0.5866458024537125,0.2093657765295431
7.899999999999921e-05,-0.5836623735613324,0.2167476442822872
8.149999999999998e-05,-0.5810104367681033,0.2244650514783446
8.400000000000074e-05,-0.5786899920740277,0.2315113797877882
8.649999999999977e-05,-0.5763695473799545,0.2378866292106126
8.900000000000054e-05,-0.5737176105867265,0.2429197208602131
9.149999999999957e-05,-0.5710656737934987,0.2509726674995739
9.400000000000033e-05,-0.5680822449011173,0.2580189958090146
9.649999999999936e-05,-0.5654303081078906,0.2647297846751455
9.900000000000013e-05,-0.5624468792155081,0.2724471918712026
0.0001014999999999992,-0.5601264345214347,0.2798290596239467
0.0001039999999999999,-0.5581374819265127,0.2845266118302438
0.0001065000000000007,-0.5554855451332837,0.2915729401396875
0.0001089999999999997,-0.5531651004392104,0.2982837290058185
0.0001115000000000005,-0.5498501794476756,0.3060011362018726
0.0001139999999999995,-0.5465352584561407,0.3133830039546199
0.0001165000000000003,-0.5432203374646059,0.321100411150674
0.0001189999999999993,-0.5415628769688392,0.327811200016805
0.0001215000000000001,-0.5395739243739175,0.3315021338931817
0.0001239999999999991,-0.5365904954815375,0.3392195410892323
0.0001264999999999999,-0.5342700507874617,0.3466014088419832
0.0001290000000000006,-0.5312866218950791,0.3533121977081205
0.0001314999999999997,-0.5286346851018525,0.3606940654608646
